;Ano_de_Fabricacion;Tasacion_millones;Marca_encoded;Numero_asientos;Monto_Total_miles;Numero_Cuota_Permiso
579;2019;12;88;5;2;0
580;2023;3;6;1;0;0
581;2016;3;32;4;0;0
582;2016;9;21;3;1;0
583;2022;10;81;5;2;0
584;2014;3;36;5;0;0
585;2021;9;39;5;2;0
586;2025;2;113;2;0;0
587;2020;4;38;4;0;0
588;2016;4;113;5;0;0
589;2007;3;91;5;0;0
590;2020;1;6;4;0;0
591;2016;3;16;5;0;0
592;2013;7;109;5;1;0
593;2021;2;50;1;0;0
594;2013;2;16;4;0;0
595;2022;7;86;5;1;0
596;2007;3;54;11;0;0
597;2019;10;54;5;1;1
598;2014;3;113;4;0;0
599;1999;1;111;5;0;0
600;2022;13;88;5;3;0
601;2001;1;113;5;0;0
602;2005;2;19;5;0;0
603;2011;3;54;5;0;0
604;2008;2;19;4;0;0
605;2014;3;103;5;0;0
606;2019;1;50;1;0;0
607;2022;13;42;5;1;1
608;2017;4;36;5;0;0
609;2024;10;86;5;2;0
610;2014;3;19;5;0;0
611;2023;15;63;7;2;1
612;2018;13;85;5;3;0
613;2018;10;54;5;2;0
614;2022;14;88;5;1;1
615;2007;3;84;5;0;0
616;2012;2;19;5;0;0
617;2022;19;123;5;5;0
618;2017;5;19;5;1;0
619;1998;1;54;5;0;0
620;2014;5;81;5;1;0
621;2007;5;71;5;1;0
622;2018;11;54;5;2;0
623;2008;3;54;5;0;0
624;2006;2;91;5;0;0
625;2009;4;54;5;0;0
626;2015;7;81;5;0;1
627;2013;3;19;5;0;0
628;2004;2;84;5;0;1
629;2023;16;42;5;4;0
630;2023;9;30;5;2;0
631;2020;9;21;4;1;1
632;2019;10;88;5;2;0
633;2014;7;62;4;1;0
634;2016;2;40;5;0;0
635;2016;4;91;4;0;0
636;2019;7;71;5;1;0
637;2024;16;63;5;2;1
638;2014;4;21;5;0;0
639;2012;4;42;4;0;0
640;2011;4;19;5;0;0
641;2017;1;126;1;0;0
642;2007;2;95;5;0;1
643;2018;4;11;5;0;0
644;2022;9;86;5;1;1
645;2017;2;126;1;0;0
646;2016;5;21;2;1;0
647;2010;4;71;5;0;0
648;2022;12;59;2;2;0
649;2022;2;73;1;0;0
650;2020;7;91;5;1;0
651;2007;3;54;4;0;1
652;2022;16;54;3;4;0
653;2007;3;54;2;0;0
654;2015;5;85;4;1;0
655;2015;5;71;4;1;0
656;2009;3;54;2;0;0
657;2012;4;123;4;0;0
658;2019;8;71;5;1;0
659;2017;8;50;5;1;0
660;2012;3;54;5;0;0
661;2007;4;54;7;0;0
662;2024;2;6;1;0;0
663;2020;12;116;5;2;0
664;2018;6;16;7;1;0
665;2016;5;36;5;0;0
